epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6856.04,0.94697,0.66836,1.19756,0.64698,0.55204,0.60812,0.3604,0.82093,0.71114,1.0758,0.000455875,0.000455875,0.000455875
43,7023.76,0.91503,0.66168,1.17675,0.61656,0.67175,0.66353,0.37486,0.87433,0.68821,1.10512,0.00045175,0.00045175,0.00045175
44,7190.55,0.93136,0.66048,1.18728,0.6968,0.66098,0.71156,0.38558,0.87529,0.69204,1.08234,0.000447625,0.000447625,0.000447625
45,7361.23,0.92549,0.64043,1.17761,0.7348,0.62844,0.70385,0.36614,0.89994,0.68344,1.11761,0.0004435,0.0004435,0.0004435
46,7529.71,0.9154,0.64256,1.17983,0.68144,0.58664,0.66916,0.36835,0.86979,0.71349,1.09268,0.000439375,0.000439375,0.000439375
47,7705.87,0.93839,0.65197,1.1849,0.68324,0.71236,0.71337,0.40409,0.89087,0.68466,1.1195,0.00043525,0.00043525,0.00043525
48,7873.83,0.91422,0.6306,1.16964,0.7096,0.6523,0.69769,0.38694,0.88439,0.69539,1.14309,0.000431125,0.000431125,0.000431125
49,8047.11,0.92855,0.64433,1.17299,0.61466,0.70488,0.68748,0.39491,0.88337,0.66975,1.1128,0.000427,0.000427,0.000427
50,8220.76,0.92877,0.63946,1.17066,0.69378,0.65531,0.71082,0.37082,0.85304,0.66264,1.06918,0.000422875,0.000422875,0.000422875
51,8396.57,0.92009,0.63054,1.15917,0.77201,0.66249,0.74457,0.42338,0.84923,0.64776,1.08699,0.00041875,0.00041875,0.00041875
52,8604.79,0.8983,0.6065,1.15507,0.71782,0.65975,0.69298,0.37987,0.89129,0.68738,1.10877,0.000414625,0.000414625,0.000414625
53,8819.65,0.91232,0.61865,1.16236,0.67438,0.69047,0.7324,0.42381,0.86196,0.66121,1.09325,0.0004105,0.0004105,0.0004105
54,9041.44,0.91566,0.61603,1.15814,0.67769,0.68237,0.70187,0.38624,1.00901,0.76076,1.27859,0.000406375,0.000406375,0.000406375
55,9250.93,0.89346,0.62378,1.16637,0.70781,0.63616,0.67894,0.37226,0.88023,0.67388,1.10043,0.00040225,0.00040225,0.00040225
56,9463.78,0.90069,0.60066,1.14683,0.68484,0.73662,0.73667,0.40451,0.89041,0.62249,1.11605,0.000398125,0.000398125,0.000398125
57,9679.5,0.88518,0.5888,1.14805,0.75974,0.65771,0.73349,0.40117,0.91046,0.66678,1.12645,0.000394,0.000394,0.000394
58,9895.33,0.8978,0.60554,1.15167,0.71284,0.71122,0.75496,0.42295,0.89444,0.63398,1.11669,0.000389875,0.000389875,0.000389875
59,10106.9,0.89338,0.5974,1.15489,0.8422,0.66884,0.74837,0.39255,0.89859,0.59972,1.1183,0.00038575,0.00038575,0.00038575
60,10330.9,0.8757,0.58735,1.14323,0.69153,0.71492,0.74405,0.41763,0.8964,0.59334,1.13029,0.000381625,0.000381625,0.000381625
61,10551,0.898,0.59232,1.16094,0.76523,0.7398,0.77296,0.4043,0.93872,0.6367,1.16663,0.0003775,0.0003775,0.0003775
62,10760.7,0.88534,0.58716,1.14129,0.74879,0.69091,0.73176,0.36548,0.93595,0.63045,1.14443,0.000373375,0.000373375,0.000373375
63,10974.2,0.87584,0.58019,1.14339,0.69429,0.67225,0.68756,0.34733,0.93716,0.66913,1.15632,0.00036925,0.00036925,0.00036925
64,11176.7,0.86891,0.5779,1.15091,0.7016,0.70606,0.70953,0.40488,0.89448,0.60984,1.1111,0.000365125,0.000365125,0.000365125
65,11397.4,0.86919,0.57207,1.14076,0.69064,0.64752,0.67864,0.36196,0.91972,0.63669,1.12552,0.000361,0.000361,0.000361
66,11604.8,0.86718,0.57207,1.13329,0.78641,0.62409,0.7173,0.37956,0.90363,0.62658,1.09968,0.000356875,0.000356875,0.000356875
67,11821.6,0.85778,0.56259,1.11988,0.76261,0.67074,0.73263,0.41053,0.89203,0.62523,1.09837,0.00035275,0.00035275,0.00035275
68,12041.1,0.8604,0.56673,1.13689,0.73656,0.65471,0.7471,0.38764,0.92718,0.67416,1.13802,0.000348625,0.000348625,0.000348625
69,12259.2,0.87729,0.57354,1.13548,0.72743,0.74062,0.74857,0.41369,0.89233,0.62232,1.10091,0.0003445,0.0003445,0.0003445
70,12478.9,0.85843,0.55841,1.12531,0.74473,0.72873,0.76309,0.41643,0.92806,0.62306,1.13306,0.000340375,0.000340375,0.000340375
71,12696.4,0.8686,0.56317,1.13849,0.76307,0.72889,0.76128,0.3983,0.92478,0.61957,1.13686,0.00033625,0.00033625,0.00033625
72,12916.4,0.84357,0.54137,1.12539,0.7843,0.72314,0.76166,0.40633,0.93557,0.60191,1.13879,0.000332125,0.000332125,0.000332125
73,13132,0.84715,0.54942,1.12191,0.72834,0.68793,0.73085,0.40543,0.90496,0.64161,1.13159,0.000328,0.000328,0.000328
74,13360.8,0.85997,0.54705,1.12751,0.74604,0.64518,0.68906,0.3845,0.92896,0.67255,1.14206,0.000323875,0.000323875,0.000323875
75,13611.9,0.85433,0.54469,1.13516,0.79021,0.7581,0.80529,0.43374,0.94435,0.63947,1.18671,0.00031975,0.00031975,0.00031975
76,13846.8,0.8454,0.54485,1.1134,0.69821,0.75017,0.74607,0.42057,0.91416,0.59185,1.12557,0.000315625,0.000315625,0.000315625
77,14103,0.84725,0.53899,1.12092,0.71149,0.74558,0.7737,0.43369,0.89164,0.59785,1.10127,0.0003115,0.0003115,0.0003115
78,14328.2,0.82716,0.52216,1.11056,0.77657,0.73793,0.79406,0.43399,0.90254,0.5936,1.12341,0.000307375,0.000307375,0.000307375
79,14558.2,0.83802,0.53479,1.11682,0.72876,0.75842,0.75615,0.42061,0.90313,0.59947,1.11287,0.00030325,0.00030325,0.00030325
80,14798.3,0.81619,0.51714,1.09266,0.77078,0.69504,0.7648,0.4273,0.89028,0.59551,1.1042,0.000299125,0.000299125,0.000299125
81,128.47,0.84162,0.52498,1.11707,0.75396,0.70609,0.7462,0.38711,0.93345,0.59728,1.13854,0.000295,0.000295,0.000295
82,264.488,0.83652,0.51795,1.11151,0.73957,0.76532,0.78054,0.41394,0.88835,0.56266,1.09255,0.000290875,0.000290875,0.000290875
83,406.477,0.81631,0.51336,1.10564,0.77255,0.72749,0.77309,0.42081,0.89323,0.59516,1.10026,0.00028675,0.00028675,0.00028675
84,539.621,0.82801,0.51779,1.10575,0.67163,0.70679,0.71334,0.39237,0.95356,0.60901,1.15129,0.000282625,0.000282625,0.000282625
85,668.146,0.82294,0.51303,1.10339,0.75542,0.74835,0.76691,0.40055,0.90264,0.57908,1.12704,0.0002785,0.0002785,0.0002785
86,795.632,0.80617,0.50481,1.10198,0.80128,0.7251,0.75531,0.41896,0.89835,0.58543,1.12199,0.000274375,0.000274375,0.000274375
87,932.901,0.80222,0.49097,1.08779,0.78993,0.70541,0.76851,0.42183,0.89637,0.56189,1.11161,0.00027025,0.00027025,0.00027025
88,1065.13,0.80567,0.49671,1.09476,0.76341,0.7466,0.77798,0.41596,0.92582,0.53395,1.13847,0.000266125,0.000266125,0.000266125
89,1198.22,0.79812,0.50763,1.09158,0.78436,0.7246,0.76825,0.41897,0.92669,0.59497,1.13137,0.000262,0.000262,0.000262
90,1328.38,0.79087,0.48661,1.08586,0.79402,0.70967,0.78225,0.41185,0.96533,0.56624,1.1725,0.000257875,0.000257875,0.000257875
